,Time,Tweet
90,2022-07-13 16:17:37+00:00,"@SirineAti If testing goes well, as soon as next month"
91,2022-07-13 16:10:58+00:00,@SawyerMerritt Cool
92,2022-07-13 16:03:08+00:00,Gives whole new meaning to Go Pros!
93,2022-07-13 15:49:13+00:00,@SRuhle Imagine if MSNBC did that
94,2022-07-13 15:30:11+00:00,@RationalEtienne 🤣👍
95,2022-07-13 15:15:37+00:00,A+ for cinematography https://t.co/anGjQKbq5W
96,2022-07-13 06:17:07+00:00,@cb_doge Ancient times
97,2022-07-13 05:44:29+00:00,"Was just up in the booster propulsion section. Damage appears to be minor, but we need to inspect all the engines.… https://t.co/y4RBNuJ5Rs"
98,2022-07-13 05:38:17+00:00,Starship launch site tonight https://t.co/Len70RGCNf
99,2022-07-13 04:53:22+00:00,@Teslarati @ResidentSponge Join our underground movement!
100,2022-07-13 01:23:15+00:00,Excited about @NASAWebb potential!
101,2022-07-12 23:39:58+00:00,@ashleevance https://t.co/fEyGfy1EaX
102,2022-07-12 23:33:52+00:00,@ashleevance Lmaooo
103,2022-07-12 22:10:05+00:00,Oh the irony lol
104,2022-07-12 20:39:55+00:00,@ajtourville @Tesla No problem to recycle the 4680 pack. Just think of any battery pack as super high grade ore – i… https://t.co/uABjD6NBnE
105,2022-07-12 05:49:03+00:00,@cb_doge But Fifth Element was great
106,2022-07-12 05:27:26+00:00,@Erdayastronaut @PPathole @planet4589 @NASASpaceflight Base of the vehicle seems ok by flashlight. I was just out t… https://t.co/NL60XqaLQx
107,2022-07-12 05:22:08+00:00,"@SpaceTelescope Cool, congrats! 

Now the simulators will have to spend more money on rendering."
108,2022-07-12 05:05:28+00:00,"@ChrisDungeon @alexkehr @BillyM2k @levie Rereading The Life of Greece by Durant. In recent months, read American Ca… https://t.co/VDpplbPFmZ"
109,2022-07-12 04:57:43+00:00,@dogeofficialceo 🤣
110,2022-07-12 04:55:53+00:00,@alexkehr @BillyM2k @levie I do recommend a lot of books
111,2022-07-12 04:39:44+00:00,@levie And too many little red or green LED indicators
112,2022-07-12 04:38:33+00:00,@BillyM2k @levie YouTube keeps playing me the same annoying scam ads every time I use it. The algorithm is convince… https://t.co/1w3PHQiolN
113,2022-07-12 04:33:59+00:00,@EvaFoxU 🤣
114,2022-07-12 04:29:56+00:00,"@PPathole @planet4589 @NASASpaceflight That is one of the things we will be doing going forward.

This particular i… https://t.co/ZqQNOLHCdN"
115,2022-07-12 02:17:46+00:00,@PPathole @JoeTalkShow @BreitbartNews 💯
116,2022-07-12 02:16:19+00:00,"@adamirvinmusic @BreitbartNews Trump would be 82 at end of term, which is too old to be chief executive of anything… https://t.co/MXFQQdmK7g"
117,2022-07-12 01:53:20+00:00,"@JoeTalkShow @BreitbartNews Yeah, but too much drama. Do we really want a bull in a china shop situation every sing… https://t.co/jNuTEDdWQx"
118,2022-07-12 01:35:45+00:00,"@BreitbartNews I don’t hate the man, but it’s time for Trump to hang up his hat &amp; sail into the sunset.

Dems shoul… https://t.co/sN4gDLTIW9"
119,2022-07-12 01:23:04+00:00,"Tesla’s automatic cabin overheat protection should make a real difference with record heatwaves.

Ability to adjust… https://t.co/0u1N37g2al"
120,2022-07-12 01:10:39+00:00,@BonginoReport Not true
121,2022-07-11 23:46:00+00:00,"@planet4589 @NASASpaceflight Cryogenic fuel is an added challenge, as it evaporates to create fuel-air explosion ri… https://t.co/59uJAjy5Sj"
122,2022-07-11 23:37:11+00:00,"@NASASpaceflight Yeah, actually not good. Team is assessing damage."
123,2022-07-11 21:34:08+00:00,@_mintydoge @BillyM2k 🤣👍
124,2022-07-11 21:27:03+00:00,@ExplainThisBob 🔥💯
125,2022-07-11 21:25:28+00:00,@BillyM2k 🐁 + ⌨️ v1.05
126,2022-07-11 21:07:18+00:00,@BillyM2k Mimic + Dark Moon + Stars of Ruin
127,2022-07-11 20:51:22+00:00,https://t.co/mvVUR4doqB
128,2022-07-11 18:28:01+00:00,@greg16676935420 @MrBeast 🔥👍
129,2022-07-11 17:50:03+00:00,@WholeMarsBlog Absolutely
130,2022-07-11 17:49:33+00:00,@WholeMarsBlog Problematic
131,2022-07-11 16:03:02+00:00,"@MrBeast Good chance you’re experiencing at least mild acid reflux at night, affecting quality sleep without consciousness awareness"
132,2022-07-11 15:34:57+00:00,@GailAlfarATX @Tesla @teslacn @TeslaOwnersEBay @blueskykites @Kristennetten @JenniCurrent @daelmor @IheartTesla… https://t.co/I8l3STHVcY
133,2022-07-11 15:34:12+00:00,"For improved quality of sleep, raise head of your bed by about 3” or 5cm and don’t eat 3 hours before bedtime"
134,2022-07-11 05:36:17+00:00,These polar launches will enable complete coverage of Earth (where approved by local government) https://t.co/0ssHobwdp3
135,2022-07-11 05:11:58+00:00,Chuckmate
136,2022-07-11 05:00:30+00:00,@itsALLrisky @PPathole @SECGov 💯
137,2022-07-11 04:28:36+00:00,@PPathole Hello??? @SECGov
138,2022-07-11 04:08:56+00:00,https://t.co/d5tSnoDs5s
139,2022-07-11 04:07:09+00:00,@WholeMarsBlog 🤣🤣
140,2022-07-11 04:04:00+00:00,https://t.co/JcLMee61wj
141,2022-07-08 19:11:43+00:00,"@WholeMarsBlog Future wars are all about the drones. Human crews of planes or tanks have no chance.

One exception:… https://t.co/vFnGWzhE65"
142,2022-07-08 17:17:34+00:00,@greg_price11 Whoever controls the teleprompter is the real President! https://t.co/1rcqmwLe9S
143,2022-07-08 17:06:58+00:00,@ScottAdamsSays @NickCannon We know so little today. I want to know the meaning of life or whatever the right quest… https://t.co/e5uS0DDB6F
144,2022-07-08 17:01:50+00:00,@ScottAdamsSays @NickCannon But sponges &amp; starfish obv can https://t.co/v7Bbz7vstW
145,2022-07-08 16:56:23+00:00,"@ScottAdamsSays @NickCannon Consciousness can understand the nature of the Universe. Clams, not so much."
146,2022-07-08 15:41:50+00:00,@Andst7 Interesting. Who is behind the bot attack?
147,2022-07-08 15:23:56+00:00,@BLKMDL3 @NickCannon Kids are worth it if at all possible. I’m planning to increase childcare benefits at my compan… https://t.co/lk82cfOXA5
148,2022-07-08 15:09:58+00:00,"@sm Agreed, this needs to be addressed"
149,2022-07-08 14:53:33+00:00,@Liv_Boeree The world has gone mad
150,2022-07-08 14:47:39+00:00,@hiromichimizuno Terrible news
151,2022-07-08 00:48:09+00:00,@slashdot Great!
152,2022-07-07 23:29:06+00:00,@BillyM2k @slashdot That is indeed the real question
153,2022-07-07 22:44:39+00:00,@BillyM2k I had same great experience from Tokyo to Osaka
154,2022-07-07 22:26:06+00:00,"@BillyM2k China &amp; Japan have awesome trains. 

Took bullet train from Beijing to Xi’an to see Terracotta Army of 秦始皇."
155,2022-07-07 22:02:54+00:00,Super fired up for future product development with our awesome Tesla team! Such an honor to work with them.
156,2022-07-07 22:01:18+00:00,"@WholeMarsBlog Also, being ruggedized for relentless salt spray &amp; extreme winds &amp; storms in deep ocean is not easy"
157,2022-07-07 21:59:24+00:00,"@WholeMarsBlog No, it’s dual, high performance terminals, which are important for maintaining the connection in cho… https://t.co/TU39WSRyma"
158,2022-07-07 21:17:00+00:00,"@JoshSeefried A flying, electric boat would be sickkk"
159,2022-07-07 20:59:12+00:00,Starlink for boats! https://t.co/BQujU8Ngna
160,2022-07-07 20:58:09+00:00,"@cb_doge Not bad! 

It is high time that the future looked like the future.

Same goes for fashion."
161,2022-07-07 17:56:16+00:00,"@EvaFoxU @BillyM2k @tesla_adri Pretty much. A van would have more roof height, so you could stand or sit under it for shade."
162,2022-07-07 17:50:00+00:00,"@BillyM2k Maybe with an optional solar power canopy that extends both sides of the van, tripling roof area"
163,2022-07-07 14:43:04+00:00,@teslaownersSV 😉
164,2022-07-07 14:27:47+00:00,@micsolana @rmcentush Exactly
165,2022-07-07 14:26:00+00:00,Maybe Tesla should make a highly configurable Robovan for people &amp; cargo?
166,2022-07-07 14:21:58+00:00,"@PPathole Far too many people are under the illusion that Earth is overpopulated, even though birth rate trends are… https://t.co/5qMLMYg1Cr"
167,2022-07-07 14:19:47+00:00,I hope you have big families and congrats to those who already do!
168,2022-07-07 14:17:45+00:00,Population of Mars is still zero people!
169,2022-07-07 14:09:11+00:00,"Mark my words, they are sadly true"
170,2022-07-07 14:04:41+00:00,"Doing my best to help the underpopulation crisis. 

A collapsing birth rate is the biggest danger civilization faces by far."
171,2022-07-07 13:43:34+00:00,"@_SuccessMinded_ @pmarca “Wait A Minute, Doc. Are You Telling Me You Built A Time Machine...Out Of A DeLorean?” – Back to the Future"
172,2022-07-07 04:36:48+00:00,@Rjdlandscapes @WholeMarsBlog 🤣
173,2022-07-06 21:09:27+00:00,"Highly recommend Revolutions by Mike Duncan, especially Season 10 https://t.co/LoJXYL2HTU"
174,2022-07-06 19:26:56+00:00,"@pmarca The world is actually vastly better than Orwell imagined, but there is also vastly more surveillance"
175,2022-07-06 19:20:02+00:00,@ggreenwald Troubling …
176,2022-07-06 18:02:11+00:00,@mishaboar @boringcompany Supporting Doge wherever possible
177,2022-07-06 16:33:04+00:00,"Moon brought us together in ‘69,
Mars can do that in the future"
178,2022-07-06 16:32:22+00:00,"Without a common goal, 
humanity will fight itself"
179,2022-07-06 16:25:57+00:00,@PPathole Exactly
180,2022-07-06 16:25:17+00:00,@AlexBerenson @Twitter Can you say more about this: “… pressures that the government may have placed on Twitter …”
181,2022-07-06 10:58:50+00:00,Humanity will reach Mars in your lifetime
182,2022-07-06 09:33:59+00:00,Flatulence Earther
183,2022-07-06 04:49:45+00:00,@BillyM2k 🤣
184,2022-07-06 04:00:38+00:00,@OwenSparks_ @Tesmanian_com Maybe later this year
185,2022-07-06 03:58:53+00:00,@WholeMarsBlog 😜💩
186,2022-07-06 02:47:42+00:00,@Tesmanian_com Zip around Vegas super fast with Teslas in tunnels!
187,2022-07-06 02:42:10+00:00,"@EvaFoxU Structural pack is the right overall architecture from a physics standpoint, but it is still far from optimized"
188,2022-07-05 17:55:09+00:00,@BillyM2k I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo
189,2022-07-05 17:47:42+00:00,"Sock Con, the conference for socks"
190,2022-07-05 17:46:15+00:00,Always something new for the magazine cover and the articles practically write themselves
